show_id,title,type,platform,primary_genre,genres,director,cast,country,language,release_year,date_added,rating,duration,duration_minutes,num_seasons,num_episodes,imdb_rating,rotten_tomatoes_score,imdb_votes,budget_million_usd,production_company,awards_won,hours_watched_million,description,year_added,month_added,content_age,rating_group,log_imdb_votes,log_budget,type_encoded,platform_encoded,primary_genre_encoded,country_encoded,language_encoded,rating_group_encoded
s11,The Lincoln Lawyer,TV Show,Amazon Prime Video,Thriller,Thriller,Ava Blanchett,"Tom Hanks, Kim Soo-hyun, IU, Cate Blanchett, Denzel Washington",United States,English,2016,2017-04-23,TV-MA,3 Seasons,0.0,3.0,66.0,6.2,55,15640,14.9,Universal Pictures,0,7,A series of disappearances leads doctor into a deadly game.,2017,4,1,Adult,9.657650950674242,2.766319109226186,1,0,19,23,2,0
s12,Midnight,Movie,JioCinema,Crime,"Crime, Sci-Fi",Greta Almodóvar,"Emma Thompson, Jennifer Lawrence, Javier Bardem, Will Smith, Ken Watanabe",South Korea,Korean,2017,2017-03-06,PG-13,98 min,98.0,0.0,0.0,8.5,86,13186,21.5,MAPPA,0,19,"As an old friend returning unfolds, musician discovers a hidden truth.",2017,3,0,Teen,9.486986774807699,3.1135153092103742,0,6,5,17,10,3
s13,Squid Game,TV Show,Netflix,Reality TV,Reality TV,Unknown,"Ayaka Miyoshi, Masami Nagasawa, Millie Bobby Brown, Daniel Craig",Japan,Japanese,2013,2016-02-12,TV-PG,1 Season,0.0,1.0,10.0,9.0,97,3684,14.9,T-Series,8,5,A detective must confront family secrets while risking everything.,2016,2,3,Family,8.212025804623437,2.766319109226186,1,7,14,13,9,1
s14,A Distant Memory,Movie,Amazon Prime Video,Horror,Horror,Quentin Hirani,"Park Seo-joon, Margot Robbie, Will Smith",Germany,German,2021,2022-07-13,PG-13,125 min,125.0,0.0,0.0,7.2,69,33652,4.3,Illumination,0,81,An isolated mansion hides a terrifying government.,2022,7,1,Teen,10.42385748414504,1.667706820558076,0,0,10,8,4,3
s15,House of Cards,TV Show,Netflix,Mystery,Mystery,Unknown,"Emma Thompson, Nicole Kidman, Oscar Isaac",Mexico,Spanish,2023,2025-03-23,TV-Y,4 Seasons,0.0,4.0,40.0,8.0,78,629,14.9,Skydance Media,0,0,"As a deadly accident unfolds, soldier discovers a family conspiracy.",2025,3,2,Kids,6.4457198193855785,2.766319109226186,1,7,13,14,13,2
s16,Shogun: Return,TV Show,HBO Max,Comedy,Comedy,Lars Jenkins,"Millie Bobby Brown, Jun Ji-hyun, Denzel Washington, Timothée Chalamet, Park Seo-joon",United Kingdom,English,2025,2026-01-07,TV-MA,6 Seasons,0.0,6.0,48.0,5.9,61,24146,14.9,A24,0,28,"When doctor meets a mysterious woman, their lives turn upside down.",2026,1,1,Adult,10.091915427761844,2.766319109226186,1,4,4,22,2,0
s17,The Last Journey,Movie,Apple TV+,Documentary,"Documentary, War",Unknown,"Ranveer Singh, Denzel Washington, Ryan Reynolds, Léa Seydoux, Meryl Streep",South Korea,Korean,2015,2020-03-25,R,95 min,95.0,0.0,0.0,6.6,59,19321,2.8,Pixar,0,10,An in-depth look at tech billionaires and its impact on society.,2020,3,5,Adult,9.868999622077455,1.33500106673234,0,1,6,17,10,0
s18,Beyond Forever,Movie,Disney+,Documentary,"Documentary, War",Kathryn Iñárritu,"Ayaka Miyoshi, Pedro Pascal, Aamir Khan, Angelina Jolie, Margot Robbie",Canada,English,2020,2021-12-16,G,120 min,120.0,0.0,0.0,7.6,79,99523,0.6,Warner Bros,3,228,The true story of a deadly accident and the people who lived it.,2021,12,1,Kids,11.508154100091337,0.4700036292457356,0,3,6,3,2,2
s19,The Last Kingdom,Movie,Paramount+,Crime,Crime,Martin Scorsese,"Zendaya, Park Seo-joon",Spain,Spanish,2023,2024-12-22,R,134 min,134.0,0.0,0.0,7.4,69,6382,18.7,Ghibli,0,13,"As a shocking revelation unfolds, doctor discovers a hidden truth.",2024,12,1,Adult,8.761393485256058,2.9806186357439426,0,8,5,18,13,0
s20,Beyond the Silence,Movie,Netflix,Drama,"Drama, Sci-Fi",Hirokazu Jenkins,"Ken Watanabe, Antonio Banderas, Zendaya",Japan,Japanese,2015,2015-11-14,R,86 min,86.0,0.0,0.0,5.8,58,3396,20.5,Bad Robot,0,6,"As a deadly accident unfolds, musician discovers a family conspiracy.",2015,11,0,Adult,8.130647968160584,3.068052935133617,0,7,7,13,9,0
s21,In the Name of Love,Movie,Amazon Prime Video,Comedy,"Comedy, Crime",Chloé Cuarón,"Marion Cotillard, Scarlett Johansson, Leonardo DiCaprio, Antonio Banderas, Lupita Nyong'o",United States,English,2021,2021-05-19,PG-13,147 min,147.0,0.0,0.0,8.1,66,5144,9.5,Universal Pictures,0,3,"When artist meets a charming stranger, their lives turn upside down.",2021,5,0,Teen,8.545780648268149,2.3513752571634776,0,0,4,23,2,3
s22,In the Depths of Night,Movie,Netflix,Action,Action,Anurag del Toro,"Denzel Washington, Aamir Khan, Ken Watanabe, Jennifer Lawrence",United States,English,2022,2022-01-03,G,136 min,136.0,0.0,0.0,6.1,58,56584,17.5,Yash Raj Films,0,69,artist must stop a shadowy organization before trying to save those he loves.,2022,1,0,Kids,10.943499211400042,2.917770732084279,0,7,0,23,2,2
s23,When We Were Young,Movie,Netflix,Fantasy,"Fantasy, Thriller",Alejandro Scorsese,"Gong Yoo, Nicole Kidman, Marion Cotillard",United States,English,2026,2026-01-02,NC-17,129 min,129.0,0.0,0.0,6.9,68,92331,12.3,Universal Pictures,0,200,"When detective loses everything, they embark on a journey to rebuild her life.",2026,1,0,Adult,11.433146055963888,2.5877640352277083,0,7,8,23,2,0
s24,The Marvelous Mrs: Legacy,TV Show,Netflix,Reality TV,"Reality TV, Kids",Unknown,"Kim Soo-hyun, Brad Pitt",Japan,Japanese,2022,2024-06-11,TV-PG,4 Seasons,0.0,4.0,48.0,5.0,52,34327,14.9,Pixar,0,84,"As an old friend returning unfolds, detective discovers a hidden truth.",2024,6,2,Family,10.44371662667136,2.766319109226186,1,7,14,13,9,1
s25,A Broken Promise,Movie,Amazon Prime Video,Action,Action,Greta Almodóvar,"IU, Emma Thompson, Jenna Ortega",United States,English,2024,2024-02-02,PG-13,136 min,136.0,0.0,0.0,5.6,65,4196,43.4,Netflix Studios,0,3,"After a mysterious disappearance, detective seeks revenge against a ruthless crime lord.",2024,2,0,Teen,8.34212526333359,3.793239469438179,0,0,0,23,2,3
s26,The Lincoln Lawyer,TV Show,Amazon Prime Video,Comedy,"Comedy, Crime",Alfonso Cameron,"Noah Schnapp, Jenna Ortega",India,Hindi,2013,2018-04-06,TV-Y7,2 Seasons,0.0,2.0,12.0,6.9,53,123139,14.9,Bad Robot,0,230,A soldier accidentally a shocking revelation and hilarity ensues.,2018,4,5,Kids,11.721077198465201,2.766319109226186,1,0,4,9,6,2
s27,Severance: Return,TV Show,Amazon Prime Video,Kids,Kids,Unknown,"Nicole Kidman, Angelina Jolie, Millie Bobby Brown",South Korea,Korean,2025,2026-06-05,TV-PG,2 Seasons,0.0,2.0,16.0,4.9,46,137,14.9,CJ Entertainment,0,0,A criminal must confront impossible odds while discovering who he truly is.,2026,6,1,Family,4.927253685157205,2.766319109226186,1,0,11,17,10,1
s28,Mr. Robot,TV Show,Hulu,Crime,"Crime, Documentary",Unknown,"Masami Nagasawa, Oscar Isaac, Millie Bobby Brown, Kim Soo-hyun",Australia,English,1998,2003-11-07,TV-14,6 Seasons,0.0,6.0,132.0,8.3,76,20713,14.9,Blumhouse,1,46,"As an old friend returning unfolds, detective discovers a family conspiracy.",2003,11,5,Teen,9.938565079148825,2.766319109226186,1,5,5,1,2,3
s29,The Morning Show,TV Show,Amazon Prime Video,Sports,"Sports, Sci-Fi",Unknown,"Priyanka Chopra, Oscar Isaac",Japan,Japanese,2024,2026-09-19,TV-G,1 Season,0.0,1.0,22.0,8.5,85,21207,14.9,Lucasfilm,0,38,A criminal must confront impossible odds while discovering who he truly is.,2026,9,2,Kids,9.962133747968862,2.766319109226186,1,0,17,13,9,2
s30,Succession,TV Show,HBO Max,Drama,"Drama, Documentary",Unknown,"Amitabh Bachchan, Sakura Ando, Léa Seydoux, Scarlett Johansson",United Kingdom,English,2025,2026-01-04,TV-Y7,1 Season,0.0,1.0,8.0,6.8,54,2794,14.9,Paramount Pictures,1,4,A scientist must confront impossible odds while risking everything.,2026,1,1,Kids,7.9355873855892,2.766319109226186,1,4,7,22,2,2
s31,The Marvelous Mrs,TV Show,Netflix,Crime,"Crime, Documentary",Unknown,"Marion Cotillard, Ayaka Miyoshi, Leonardo DiCaprio",United States,English,2020,2020-08-23,TV-Y7,2 Seasons,0.0,2.0,44.0,6.5,66,1666,14.9,Studio Ghibli,0,1,"As a mysterious disappearance unfolds, artist discovers a family conspiracy.",2020,8,0,Kids,7.418780882750794,2.766319109226186,1,7,5,23,2,2
s32,In the Heart of Winter,Movie,Netflix,Fantasy,Fantasy,Unknown,"Oscar Isaac, Margot Robbie, Penélope Cruz",Germany,German,2023,2023-05-01,PG-13,141 min,141.0,0.0,0.0,7.6,82,2983,66.0,Red Chillies Entertainment,1,5,"As a mysterious disappearance unfolds, musician discovers a hidden truth.",2023,5,0,Teen,8.001019961323651,4.204692619390966,0,7,8,8,4,3
s33,Wednesday,TV Show,Amazon Prime Video,Reality TV,"Reality TV, Thriller",Unknown,"Jenna Ortega, Park Seo-joon, Tilda Swinton, Masami Nagasawa, Kareena Kapoor",France,French,1995,1995-04-02,TV-14,2 Seasons,0.0,2.0,24.0,8.5,99,50,14.9,Warner Bros,1,0,A artist must confront family secrets while risking everything.,1995,4,0,Teen,3.9318256327243257,2.766319109226186,1,0,14,7,3,3
s34,In the Heart of Winter,Movie,Netflix,Comedy,"Comedy, Action",Steven Akhtar,"Aamir Khan, Paul Mescal, Kareena Kapoor, Priyanka Chopra",Italy,Italian,2009,2010-02-08,PG-13,95 min,95.0,0.0,0.0,5.5,62,7321,53.8,20th Century Studios,0,3,A mother accidentally an old friend returning and hilarity ensues.,2010,2,1,Teen,8.898638793680181,4.00369019395397,0,7,4,12,8,3
s35,When Night Comes,Movie,HBO Max,Comedy,Comedy,Anurag Tarantino,"IU, Daniel Craig, Deepika Padukone",United States,English,2024,2024-03-11,PG,93 min,93.0,0.0,0.0,6.5,66,316,12.0,Working Title Films,0,0,"When journalist meets a rival, their lives turn upside down.",2024,3,0,Family,5.75890177387728,2.5649493574615367,0,4,4,23,2,1
s36,The Last Dance,Movie,Hulu,Sci-Fi,Sci-Fi,Steven Tarantino,"Alia Bhatt, Millie Bobby Brown, Penélope Cruz",Japan,Japanese,2023,2026-11-08,PG-13,110 min,110.0,0.0,0.0,9.0,79,13223,8.6,Netflix Studios,0,13,"When artist discovers they can see the future, reality begins to shift.",2026,11,3,Teen,9.48978863950086,2.2617630984737906,0,5,16,13,9,3
s37,The Witcher: Legacy,TV Show,HBO Max,Kids,"Kids, Game Show",Ava von Trier,"Viola Davis, Tom Hanks",United States,English,2016,2016-09-15,TV-Y7,1 Season,0.0,1.0,12.0,6.8,48,98281,14.9,Ghibli,0,149,"When doctor loses everything, they embark on a journey to find redemption.",2016,9,0,Kids,11.495596176448407,2.766319109226186,1,4,11,23,2,2
s38,A Distant Memory,Movie,Amazon Prime Video,Action,Action,Cate Scorsese,"Paul Mescal, Scarlett Johansson, Kareena Kapoor",United States,English,2003,2003-01-06,NC-17,114 min,114.0,0.0,0.0,7.2,60,857,7.7,DreamWorks,0,1,A former soldier is pulled back into action when an old friend returning.,2003,1,0,Adult,6.754604099487962,2.1633230256605382,0,0,0,23,2,0
s39,In the Name of Love,Movie,HBO Max,Action,"Action, Romance",David Bigelow,"Ranbir Kapoor, Cate Blanchett, Emma Thompson, Antonio Banderas",United Kingdom,English,2024,2025-04-13,PG,153 min,153.0,0.0,0.0,6.3,53,422306,76.7,MRC,0,318,A former hitman is pulled back into action when a shocking revelation.,2025,4,1,Family,12.953487816678571,4.3528552573736015,0,4,0,22,2,1
s40,The Morning Show,TV Show,Paramount+,Thriller,Thriller,Unknown,"Denzel Washington, Jennifer Lawrence",United States,English,2020,2020-08-23,TV-PG,1 Season,0.0,1.0,10.0,7.5,90,12122,14.9,Walt Disney Pictures,0,8,A series of murders leads artist into a deadly game.,2020,8,0,Family,9.402859753746583,2.766319109226186,1,8,19,23,2,1
s41,Reacher,TV Show,Paramount+,Drama,"Drama, Anime",Unknown,"Jennifer Lawrence, Aamir Khan, Léa Seydoux",South Korea,Korean,2025,2025-10-10,TV-MA,2 Seasons,0.0,2.0,20.0,7.0,74,10924,14.9,Yash Raj Films,0,9,"As a shocking revelation unfolds, artist discovers a family conspiracy.",2025,10,0,Adult,9.298809019963791,2.766319109226186,1,8,7,17,10,0
s42,Bridgerton,TV Show,Amazon Prime Video,Animation,"Animation, Comedy",Rajkumar Akhtar,"Ranveer Singh, Paul Mescal",South Korea,Korean,2021,2022-11-27,TV-14,2 Seasons,0.0,2.0,20.0,6.6,83,43370,14.9,Studio Ghibli,0,105,"As a deadly accident unfolds, soldier discovers a hidden truth.",2022,11,1,Teen,10.677546293976553,2.766319109226186,1,0,2,17,10,3
s43,The Last of Us,TV Show,Amazon Prime Video,Drama,"Drama, Comedy",Unknown,"Scarlett Johansson, Jun Ji-hyun",United States,English,2020,2025-07-05,TV-G,1 Season,0.0,1.0,10.0,5.4,49,3830,14.9,Illumination,0,2,"As an old friend returning unfolds, artist discovers a family conspiracy.",2025,7,5,Kids,8.25088114470065,2.766319109226186,1,0,7,23,2,2
s44,Severance,TV Show,Netflix,Documentary,"Documentary, Talk Show",Unknown,"Javier Bardem, Angelina Jolie",India,Hindi,2008,2013-10-05,TV-14,2 Seasons,0.0,2.0,12.0,7.0,76,12018,14.9,Illumination,0,24,The true story of a deadly accident and the people who lived it.,2013,10,5,Teen,9.39424400995279,2.766319109226186,1,7,6,9,6,3
s45,In the Depths of Night,Movie,Peacock,Comedy,Comedy,Steven Fincher,"Jenna Ortega, Nicole Kidman",Japan,Japanese,2024,2024-05-18,PG-13,40 min,40.0,0.0,0.0,5.4,55,922,12.6,Bad Robot,0,1,A journalist accidentally a mysterious disappearance and hilarity ensues.,2024,5,0,Teen,6.827629234502852,2.6100697927420065,0,9,4,13,9,3
s46,The Diplomat: Legacy,TV Show,Amazon Prime Video,Kids,"Kids, Drama",Guillermo Tarantino,"Zendaya, Will Smith, Cate Blanchett",France,French,2026,2026-05-07,TV-PG,3 Seasons,0.0,3.0,36.0,6.4,64,764,14.9,Universal Pictures,0,1,"When detective loses everything, they embark on a journey to uncover the truth.",2026,5,0,Family,6.639875833826536,2.766319109226186,1,0,11,7,3,1
s47,A Silent Echo,Movie,HBO Max,Comedy,"Comedy, Thriller",Chloé Peele,"Marion Cotillard, Millie Bobby Brown, Léa Seydoux, Gong Yoo",China,Mandarin,2017,2022-05-07,PG-13,156 min,156.0,0.0,0.0,6.2,64,1274,29.5,CJ Entertainment,0,1,A mother accidentally a mysterious disappearance and hilarity ensues.,2022,5,5,Teen,7.150701457592526,3.417726683613366,0,4,4,4,11,3
s48,The Gentlemen: Revenge,TV Show,Netflix,Crime,"Crime, Talk Show",Chloé von Trier,"Jenna Ortega, Antonio Banderas, Ken Watanabe, Song Kang-ho, Angelina Jolie",United States,English,2016,2016-02-05,TV-MA,2 Seasons,0.0,2.0,20.0,8.1,59,22889,14.9,Pixar,1,37,"When teacher loses everything, they embark on a journey to find redemption.",2016,2,0,Adult,10.038455412946613,2.766319109226186,1,7,5,23,2,0
s49,The Last Light,Movie,Amazon Prime Video,Romance,Romance,Cate Iñárritu,"Gong Yoo, Florence Pugh, Daniel Craig",United States,English,2022,2022-02-10,Not Rated,81 min,81.0,0.0,0.0,7.2,54,405574,5.9,Walt Disney Pictures,0,918,"After years apart, doctor reconnects with a rival in remote island.",2022,2,0,Adult,12.9130610922786,1.9315214116032138,0,0,15,23,2,0
s50,Between Lives,Movie,HBO Max,Fantasy,"Fantasy, Sci-Fi",Barry Chan-wook,"Oscar Isaac, Antonio Banderas, Sakura Ando",United States,English,2017,2017-12-20,Not Rated,64 min,64.0,0.0,0.0,8.3,85,11694,80.5,Illumination,0,15,"As a shocking revelation unfolds, teacher discovers his true identity.",2017,12,0,Adult,9.36691667901828,4.400603020246817,0,4,8,23,2,0
s51,A Broken Promise,Movie,Apple TV+,Sci-Fi,Sci-Fi,Chloé Joon-ho,"Javier Bardem, Leonardo DiCaprio, Idris Elba, Penélope Cruz",India,Hindi,2011,2014-05-14,PG,128 min,128.0,0.0,0.0,7.0,72,19088,54.6,Bad Robot,0,18,A breakthrough in time travel leads to unforeseen consequences.,2014,5,3,Family,9.856867531900901,4.018183201256536,0,1,16,9,6,1
s52,Between Two Worlds,Movie,JioCinema,Animation,Animation,Chloé Cuarón,"Aamir Khan, Brad Pitt, Margot Robbie, Meryl Streep",India,Hindi,2017,2022-07-07,PG-13,77 min,77.0,0.0,0.0,6.2,70,301,80.3,DreamWorks,0,0,"As a shocking revelation unfolds, criminal discovers his true identity.",2022,7,5,Teen,5.71042701737487,4.398146016553765,0,6,2,9,6,3
s53,Echoes,Movie,Paramount+,Animation,"Animation, Thriller",Unknown,"Ranbir Kapoor, Zendaya, Ken Watanabe, Hiroyuki Sanada",South Korea,Korean,2022,2023-06-09,G,118 min,118.0,0.0,0.0,6.4,52,24922,19.2,Sony Pictures,0,42,"As a deadly accident unfolds, criminal discovers his true identity.",2023,6,1,Kids,10.123546350888414,3.005682604407159,0,8,2,17,10,2
s54,Between Tomorrow and Never,Movie,HBO Max,Action,"Action, Adventure",Denis Jenkins,"Idris Elba, Robert De Niro, Scarlett Johansson, Dwayne Johnson, Kim Soo-hyun",India,Hindi,2011,2011-11-22,NC-17,102 min,102.0,0.0,0.0,8.1,77,572,241.6,Excel Entertainment,0,0,A former hitman is pulled back into action when a deadly accident.,2011,11,0,Adult,6.35088571671474,5.49141399650995,0,4,0,9,6,0
s55,When We Were Young,Movie,Netflix,Drama,Drama,Bong Cameron,"Ranbir Kapoor, Antonio Banderas, Priyanka Chopra, Song Kang-ho",China,Mandarin,2009,2009-10-14,NC-17,113 min,113.0,0.0,0.0,7.4,69,50,83.3,Lionsgate,0,0,"As a deadly accident unfolds, teacher discovers his true identity.",2009,10,0,Adult,3.9318256327243257,4.4343818650078095,0,7,7,4,11,0
s56,Ted Lasso,TV Show,HBO Max,Animation,"Animation, Documentary",Unknown,"Timothée Chalamet, Alia Bhatt, Javier Bardem, IU",United States,English,2016,2016-06-11,TV-14,1 Season,0.0,1.0,12.0,7.6,73,242,14.9,MAPPA,0,0,A criminal must confront moral dilemmas while risking everything.,2016,6,0,Teen,5.493061443340548,2.766319109226186,1,4,2,23,2,3
s57,Beyond Forever,Movie,HBO Max,Romance,Romance,Unknown,"Léa Seydoux, Denzel Washington, Florence Pugh, Noah Schnapp",Mexico,Spanish,2012,2016-05-04,R,157 min,157.0,0.0,0.0,7.7,82,9923,3.9,Dharma Productions,0,8,"A doctor falls for a charming stranger, but their worlds couldn't be more different.",2016,5,4,Adult,9.202711344811691,1.589235205116581,0,4,15,14,13,0
s58,A Distant Memory,Movie,HBO Max,Animation,"Animation, Fantasy",Jordan Coogler,"Park Seo-joon, Angelina Jolie, Viola Davis, Gong Yoo",United States,English,2018,2018-09-22,PG-13,103 min,103.0,0.0,0.0,4.3,53,28540,53.1,Excel Entertainment,0,67,A doctor must confront his past while risking everything.,2018,9,0,Teen,10.259096928959389,3.9908341858524357,0,4,2,23,2,3
s59,Between Tomorrow and Never,Movie,Netflix,Animation,Animation,Lars Almodóvar,"Sakura Ando, Tilda Swinton, Vicky Kaushal, Marion Cotillard",United States,English,2022,2025-08-06,PG-13,108 min,108.0,0.0,0.0,6.1,69,13457,17.9,MAPPA,0,18,"When detective loses everything, they embark on a journey to rebuild her life.",2025,8,3,Teen,9.507329003748263,2.9391619220655967,0,7,2,23,2,3
s60,In the Depths of Night,Movie,Netflix,Comedy,"Comedy, Romance",Unknown,"Marion Cotillard, Paul Mescal",South Korea,Korean,2026,2026-07-06,PG-13,97 min,97.0,0.0,0.0,5.9,59,7054,11.1,A24,0,5,"When scientist meets a charming stranger, their lives turn upside down.",2026,7,0,Teen,8.861491864286915,2.4932054526026954,0,7,4,17,10,3
s61,Fallout,TV Show,Netflix,Drama,Drama,Ryan Villeneuve,"Amitabh Bachchan, Jun Ji-hyun, Park Seo-joon, Dwayne Johnson, Deepika Padukone",Canada,English,2020,2020-08-01,TV-14,3 Seasons,0.0,3.0,36.0,6.4,68,14926,14.9,Focus Features,0,28,"When criminal loses everything, they embark on a journey to find redemption.",2020,8,0,Teen,9.61092693263324,2.766319109226186,1,7,7,3,2,3
s62,Lupin: Revenge,TV Show,JioCinema,Drama,Drama,Unknown,"Denzel Washington, Will Smith",United Kingdom,English,2017,2018-08-03,TV-MA,2 Seasons,0.0,2.0,20.0,8.2,87,22251,14.9,Illumination,0,44,A teacher must confront moral dilemmas while discovering who he truly is.,2018,8,1,Adult,10.010187171195184,2.766319109226186,1,6,7,22,2,0
s63,Vertigo,Movie,Disney+,Drama,"Drama, Fantasy, Musical",Ryan Tarantino,"Paul Mescal, Millie Bobby Brown, Ryan Reynolds",United Kingdom,English,2016,2017-10-22,R,127 min,127.0,0.0,0.0,7.6,77,202,5.3,Pixar,1,0,A scientist must confront his past while discovering who he truly is.,2017,10,1,Adult,5.313205979041787,1.840549633397487,0,3,7,22,2,0
s64,Between Tomorrow and Never,Movie,Amazon Prime Video,Drama,Drama,Akira Coogler,"Lupita Nyong'o, Meryl Streep",South Korea,Korean,2008,2010-05-05,PG,110 min,110.0,0.0,0.0,5.0,33,97,23.2,T-Series,0,0,A teacher must confront his past while risking everything.,2010,5,2,Family,4.584967478670572,3.186352633162641,0,0,7,17,10,1
s65,The Pilgrim,Movie,Amazon Prime Video,Romance,Romance,Barry Cuarón,"Deepika Padukone, Javier Bardem, Lupita Nyong'o, Paul Mescal",United States,English,2024,2024-02-17,PG,146 min,146.0,0.0,0.0,6.8,83,9223,10.9,Lucasfilm,0,8,"After years apart, journalist reconnects with a stranger in small town.",2024,2,0,Family,9.129564061948894,2.4765384001174837,0,0,15,23,2,1
s66,The Diplomat,TV Show,Amazon Prime Video,Sci-Fi,"Sci-Fi, Thriller",Unknown,"Cate Blanchett, Robert De Niro",United States,English,2014,2015-05-06,TV-G,1 Season,0.0,1.0,8.0,7.5,74,292719,14.9,Red Chillies Entertainment,0,238,A breakthrough in time travel leads to unforeseen consequences.,2015,5,1,Kids,12.586971799693089,2.766319109226186,1,0,16,23,2,2
s67,Wednesday,TV Show,Netflix,Anime,Anime,Steven Almodóvar,"Tilda Swinton, Millie Bobby Brown, Aamir Khan, Priyanka Chopra, Idris Elba",United States,English,2024,2025-09-13,TV-14,7 Seasons,0.0,7.0,56.0,6.9,63,16879,14.9,Apple Studios,0,12,A musician must confront his past while risking everything.,2025,9,1,Teen,9.733884768149949,2.766319109226186,1,7,3,23,2,3
s68,The Last of Us: Uprising,TV Show,Amazon Prime Video,Reality TV,"Reality TV, Drama, Thriller",Unknown,"Jennifer Lawrence, Park Seo-joon, Denzel Washington, Florence Pugh, Jun Ji-hyun",Mexico,Spanish,2023,2026-12-28,TV-14,4 Seasons,0.0,4.0,48.0,6.4,61,10958,14.9,Lucasfilm,0,5,"As a mysterious disappearance unfolds, journalist discovers a family conspiracy.",2026,12,3,Teen,9.301916315463393,2.766319109226186,1,0,14,14,13,3
